id,url,source,title,content,created_at,domain,metadata,cleaned_title,cleaned_content,created_at_dt,combined_text,existing_tags,assigned_labels
999821716,https://twitter.com/hybridherbst/status/1509894361210929156,raindrop,,Coming soon™. Unity ↦ Three.js export by @NeedleTo,2022-04-01 14:04:02+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://rdl.ink/render/https%3A%2F%2Ftwitter.com%2Fhybridherbst%2Fstatus%2F1509894361210929156"", ""highlights"": [], ""favorite"": false}",,Coming soon™. Unity ↦ Three.js export by @NeedleTo,2022-04-01 14:04:02+00:00,Coming soon™. Unity ↦ Three.js export by @NeedleTo,[],[]
999823146,https://twitter.com/swardley/status/1088760700011454464,raindrop,,X : What do you mean by capital flow with maps. Me,2019-01-25 11:29:13+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://rdl.ink/render/https%3A%2F%2Ftwitter.com%2Fswardley%2Fstatus%2F1088760700011454464"", ""highlights"": [], ""favorite"": false}",,X : What do you mean by capital flow with maps. Me,2019-01-25 11:29:13+00:00,X : What do you mean by capital flow with maps. Me,[],[]
999815501,https://huggingface.co/papers/2412.09596,raindrop,,Paper page - InternLM-XComposer2.5-OmniLive: A Comprehensive Multimodal System for Long-term Streaming Video and Audio Interactions,2024-12-14 20:57:59.900000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://cdn-thumbnails.huggingface.co/social-thumbnails/papers/2412.09596/gradient.png"", ""highlights"": [], ""favorite"": false}",,Paper page - InternLM-XComposer2.5-OmniLive: A Comprehensive Multimodal System for Long-term Streaming Video and Audio Interactions,2024-12-14 20:57:59.900000+00:00,Paper page - InternLM-XComposer2.5-OmniLive: A Comprehensive Multimodal System for Long-term Streaming Video and Audio Interactions,[],[]
999817393,https://github.com/microsoft/Data-Discovery-Toolkit,raindrop,,microsoft/Data-Discovery-Toolkit: A data discovery and manipulation toolset for unstructured data,2024-03-18 18:41:44.489000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [""structure knowledge""], ""cover"": ""https://opengraph.githubassets.com/48b0844da709903fe5235b5c98123c911be31f7e92d2f41b38f2a7389de29b69/microsoft/Data-Discovery-Toolkit"", ""highlights"": [], ""favorite"": false}",,microsoft/Data-Discovery-Toolkit: A data discovery and manipulation toolset for unstructured data,2024-03-18 18:41:44.489000+00:00,microsoft/Data-Discovery-Toolkit: A data discovery and manipulation toolset for unstructured data,[],['Data_Management_Processing']
999820482,https://chrome.google.com/webstore/detail/tiknote-video-downloader/jilgamolkonoalagcpgjjijaclacillb,raindrop,,TikNote: Video Downloader and Saver - Chrome Web Store,2023-09-17 18:09:18+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://lh3.googleusercontent.com/EIOOrBNHLHUKwVi727qYoZrW4bgKq_ioEUjW0II2rtSR770ytnk9A0gurPIg2-121fdzihpfPXkKgzR5MKFmFvcv=w128-h128-e365-rj-sc0x00ffffff"", ""highlights"": [], ""favorite"": false}",,TikNote: Video Downloader and Saver - Chrome Web Store,2023-09-17 18:09:18+00:00,TikNote: Video Downloader and Saver - Chrome Web Store,[],[]
999819743,https://go.fabric.so/,raindrop,,"Fabric – think better, together",2023-10-13 22:36:24.560000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [""pkm""], ""cover"": ""https://go.fabric.so/images/fabric-social-image-sm-c.png"", ""highlights"": [], ""favorite"": false}",,"Fabric – think better, together",2023-10-13 22:36:24.560000+00:00,"Fabric – think better, together",[],[]
999822293,https://twitter.com/smashingmag/status/1334844966103900162,raindrop,,Smashing Magazine 🇺🇦 🏳️‍🌈 on Twitter / X,2020-12-04 13:00:14+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://rdl.ink/render/https%3A%2F%2Ftwitter.com%2Fsmashingmag%2Fstatus%2F1334844966103900162"", ""highlights"": [], ""favorite"": false}",,Smashing Magazine 🇺🇦 🏳️‍🌈 on Twitter / X,2020-12-04 13:00:14+00:00,Smashing Magazine 🇺🇦 🏳️‍🌈 on Twitter / X,[],[]
999815338,https://x.com/rom1trs/status/1876256013038551467,raindrop,,x.com/rom1trs/status/1876256013038551467,2025-02-04 09:43:34.921000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://rdl.ink/render/https%3A%2F%2Fx.com%2From1trs%2Fstatus%2F1876256013038551467"", ""highlights"": [], ""favorite"": false}",,x.com/rom1trs/status/1876256013038551467,2025-02-04 09:43:34.921000+00:00,x.com/rom1trs/status/1876256013038551467,[],[]
999822224,https://twitter.com/DocumentingBTC/status/1351352557290086400,raindrop,,"This message was embedded in the 666,666th block o",2021-01-19 02:15:31+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://rdl.ink/render/https%3A%2F%2Ftwitter.com%2FDocumentingBTC%2Fstatus%2F1351352557290086400"", ""highlights"": [], ""favorite"": false}",,"This message was embedded in the 666,666th block o",2021-01-19 02:15:31+00:00,"This message was embedded in the 666,666th block o",[],[]
999816171,https://b2bfinance.com/property/buy-to-let/products/,raindrop,,B2Bfinance.com,2024-10-01 12:55:05.095000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [""buy to let""], ""cover"": ""https://rdl.ink/render/https%3A%2F%2Fb2bfinance.com%2Fproperty%2Fbuy-to-let%2Fproducts%2F"", ""highlights"": [], ""favorite"": false}",,B2Bfinance.com,2024-10-01 12:55:05.095000+00:00,B2Bfinance.com,[],[]
