id,url,source,title,content,created_at,domain,metadata,cleaned_title,cleaned_content,created_at_dt,combined_text,existing_tags,assigned_labels
999816078,chrome-extension://ldgfbffkinooeloadekpmfoklnobpien/index.html#/add?link=https%3A%2F%2Fgithub.com%2Fbytarnish%2FAGILE%3Ftab%3Dreadme-ov-file,raindrop,,Bookmark saved,2024-10-16 10:51:33.057000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": """", ""highlights"": [{""text"": ""AGILE: AGent that Interacts and Learns from Environments\narxiv: http://arxiv.org/abs/2405.14751"", ""note"": """", ""color"": ""yellow"", ""created"": ""2024-10-16T10:51:33.056Z"", ""lastUpdate"": ""2024-10-16T10:51:33.057Z"", ""creatorRef"": 1458823, ""_id"": ""670f9ab51e15187a482fc17b""}], ""favorite"": false}",,Bookmark saved,2024-10-16 10:51:33.057000+00:00,Bookmark saved,[],[]
999820804,chrome-extension://mhjfbmdgcfjbbpaeojofohoefgiehjai/index.html,raindrop,,Index,2023-08-05 14:04:01.834000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://rdl.ink/render/chrome-extension%3A%2F%2Fmhjfbmdgcfjbbpaeojofohoefgiehjai%2Findex.html"", ""highlights"": [], ""favorite"": false}",,Index,2023-08-05 14:04:01.834000+00:00,Index,[],[]
999816601,chrome://newtab/,raindrop,,New Tab,2024-05-01 09:23:09.399000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [""webdev""], ""cover"": """", ""highlights"": [], ""favorite"": false}",,New Tab,2024-05-01 09:23:09.399000+00:00,New Tab,[],[]
999818071,http://127.0.0.1:8081/,raindrop,,AutoGen Studio | Home,2024-02-17 17:39:09.979000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [""February 17 2024""], ""cover"": """", ""highlights"": [], ""favorite"": false}",,AutoGen Studio | Home,2024-02-17 17:39:09.979000+00:00,AutoGen Studio | Home,[],['Software_Development']
999815485,http://127.0.0.1:8081/gallery/?galleryId=gallery_1734455321341,raindrop,,autogenstudio new,2024-12-17 17:41:27.867000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://up.raindrop.io/raindrop/thumbs/923/736/812/1734457288378.jpeg"", ""highlights"": [], ""favorite"": false}",,autogenstudio new,2024-12-17 17:41:27.867000+00:00,autogenstudio new,[],[]
999818477,http://127.0.0.1:8082/,raindrop,,AutoGen Studio | Home,2024-01-25 00:10:00.731000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [""January 25 2024""], ""cover"": """", ""highlights"": [], ""favorite"": false}",,AutoGen Studio | Home,2024-01-25 00:10:00.731000+00:00,AutoGen Studio | Home,[],['Software_Development']
999818895,http://127.0.0.1:8082/build,raindrop,,AutoGen Studio | Home,2024-01-16 20:04:02.744000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [""January 16 2024""], ""cover"": """", ""highlights"": [], ""favorite"": false}",,AutoGen Studio | Home,2024-01-16 20:04:02.744000+00:00,AutoGen Studio | Home,[],['Software_Development']
999818457,http://127.0.0.1:8082/build/,raindrop,,AutoGen Studio | Home,2024-01-25 00:10:30.010000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [""January 25 2024""], ""cover"": """", ""highlights"": [], ""favorite"": false}",,AutoGen Studio | Home,2024-01-25 00:10:30.010000+00:00,AutoGen Studio | Home,[],['Software_Development']
999818917,http://169.254.125.95/,raindrop,,169.254.125.95,2024-01-16 20:04:02.732000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [""January 16 2024""], ""cover"": """", ""highlights"": [], ""favorite"": false}",,169.254.125.95,2024-01-16 20:04:02.732000+00:00,169.254.125.95,[],['Data_Management_Processing']
999815981,http://35.189.104.96:8080/ui/dashboard?startDate=2024-10-06T15:57:41.038%2B01:00&endDate=2024-11-05T14:57:41.039%2B00:00&scope=USER,raindrop,,Kestra,2024-11-05 14:57:49.203000+00:00,,"{""folder"": ""Unsorted"", ""tags"": [], ""cover"": ""https://up.raindrop.io/raindrop/thumbs/893/653/464/1730818671382.jpeg"", ""highlights"": [], ""favorite"": false}",,Kestra,2024-11-05 14:57:49.203000+00:00,Kestra,[],[]
